SampleID,Cop_sp,Month ,Season,Temperature,NH4,Chla,PNEA,BA,BP,PP
CPF1,C. ponticus,February,Winter,17.1,0.42,0.25,22.2,863,8.99,36.93
CPF2,C. ponticus,February,Winter,17.1,0.42,0.25,22.2,863,8.99,36.93
CPF3,C. ponticus,February,Winter,17.1,0.42,0.25,22.2,863,8.99,36.93
CPF4,C. ponticus,February,Winter,17.1,0.42,0.25,22.2,863,8.99,36.93
CPF5,C. ponticus,February,Winter,17.1,0.42,0.25,22.2,863,8.99,36.93
CPA1,C. ponticus,April,Spring,20.3,0.36,0.23,7.9,355,4.03,12.3
CPA2,C. ponticus,April,Spring,20.3,0.36,0.23,7.9,355,4.03,12.3
CPA3,C. ponticus,April,Spring,20.3,0.36,0.23,7.9,355,4.03,12.3
CPA4,C. ponticus,April,Spring,20.3,0.36,0.23,7.9,355,4.03,12.3
CPA5,C. ponticus,April,Spring,20.3,0.36,0.23,7.9,355,4.03,12.3
CPJ1,C. ponticus,July,Summer,29.3,0.59,0.4,3.1,309,11.95,11.29
CPJ2,C. ponticus,July,Summer,29.3,0.59,0.4,3.1,309,11.95,11.29
CPJ3,C. ponticus,July,Summer,29.3,0.59,0.4,3.1,309,11.95,11.29
CPJ4,C. ponticus,July,Summer,29.3,0.59,0.4,3.1,309,11.95,11.29
CPJ5,C. ponticus,July,Summer,29.3,0.59,0.4,3.1,309,11.95,11.29
CPO1,C. ponticus,October,Autumn,27.6,0.51,0.28,2.2,313,7.38,9.61
CPO2,C. ponticus,October,Autumn,27.6,0.51,0.28,2.2,313,7.38,9.61
CPO3,C. ponticus,October,Autumn,27.6,0.51,0.28,2.2,313,7.38,9.61
CPO4,C. ponticus,October,Autumn,27.6,0.51,0.28,2.2,313,7.38,9.61
CPO5,C. ponticus,October,Autumn,27.6,0.51,0.28,2.2,313,7.38,9.61
ONF1,O. nana,February,Winter,17.1,0.42,0.25,22.2,863,8.99,36.93
ONF2,O. nana,February,Winter,17.1,0.42,0.25,22.2,863,8.99,36.93
ONF3,O. nana,February,Winter,17.1,0.42,0.25,22.2,863,8.99,36.93
ONF4,O. nana,February,Winter,17.1,0.42,0.25,22.2,863,8.99,36.93
ONF5,O. nana,February,Winter,17.1,0.42,0.25,22.2,863,8.99,36.93
ONA1,O. nana,April,Spring,20.3,0.36,0.23,7.9,355,4.03,12.3
ONA2,O. nana,April,Spring,20.3,0.36,0.23,7.9,355,4.03,12.3
ONA3,O. nana,April,Spring,20.3,0.36,0.23,7.9,355,4.03,12.3
ONA4,O. nana,April,Spring,20.3,0.36,0.23,7.9,355,4.03,12.3
ONA5,O. nana,April,Spring,20.3,0.36,0.23,7.9,355,4.03,12.3
ONJ1,O. nana,July,Summer,29.3,0.59,0.4,3.1,309,11.95,11.29
ONJ2,O. nana,July,Summer,29.3,0.59,0.4,3.1,309,11.95,11.29
ONJ3,O. nana,July,Summer,29.3,0.59,0.4,3.1,309,11.95,11.29
ONJ4,O. nana,July,Summer,29.3,0.59,0.4,3.1,309,11.95,11.29
ONJ5,O. nana,July,Summer,29.3,0.59,0.4,3.1,309,11.95,11.29
ONO1,O. nana,October,Autumn,27.6,0.51,0.28,2.2,313,7.38,9.61
ONO2,O. nana,October,Autumn,27.6,0.51,0.28,2.2,313,7.38,9.61
ONO3,O. nana,October,Autumn,27.6,0.51,0.28,2.2,313,7.38,9.61
ONO4,O. nana,October,Autumn,27.6,0.51,0.28,2.2,313,7.38,9.61
ONO5,O. nana,October,Autumn,27.6,0.51,0.28,2.2,313,7.38,9.61
TSA1,T. stylifera,April,Spring,20.3,0.36,0.23,7.9,355,4.03,12.3
TSA2,T. stylifera,April,Spring,20.3,0.36,0.23,7.9,355,4.03,12.3
TSA3,T. stylifera,April,Spring,20.3,0.36,0.23,7.9,355,4.03,12.3
TSA4,T. stylifera,April,Spring,20.3,0.36,0.23,7.9,355,4.03,12.3
TSA5,T. stylifera,April,Spring,20.3,0.36,0.23,7.9,355,4.03,12.3
TSJ1,T. stylifera,July,Summer,29.3,0.59,0.4,3.1,309,11.95,11.29
TSJ2,T. stylifera,July,Summer,29.3,0.59,0.4,3.1,309,11.95,11.29
TSJ3,T. stylifera,July,Summer,29.3,0.59,0.4,3.1,309,11.95,11.29
TSJ4,T. stylifera,July,Summer,29.3,0.59,0.4,3.1,309,11.95,11.29
TSJ5,T. stylifera,July,Summer,29.3,0.59,0.4,3.1,309,11.95,11.29
TSO1,T. stylifera,October,Autumn,27.6,0.51,0.28,2.2,313,7.38,9.61
TSO2,T. stylifera,October,Autumn,27.6,0.51,0.28,2.2,313,7.38,9.61
TSO3,T. stylifera,October,Autumn,27.6,0.51,0.28,2.2,313,7.38,9.61
TSO4,T. stylifera,October,Autumn,27.6,0.51,0.28,2.2,313,7.38,9.61
TSO5,T. stylifera,October,Autumn,27.6,0.51,0.28,2.2,313,7.38,9.61
SBF1,Sea water,February,Winter,17.1,0.42,0.25,22.2,863,8.99,36.93
SBF2,Sea water,February,Winter,17.1,0.42,0.25,22.2,863,8.99,36.93
SBF3,Sea water,February,Winter,17.1,0.42,0.25,22.2,863,8.99,36.93
SBA1,Sea water,April,Spring,20.3,0.36,0.23,7.9,355,4.03,12.3
SBA2,Sea water,April,Spring,20.3,0.36,0.23,7.9,355,4.03,12.3
SBA3,Sea water,April,Spring,20.3,0.36,0.23,7.9,355,4.03,12.3
SBJ1,Sea water,July,Summer,29.3,0.59,0.4,3.1,309,11.95,11.29
SBJ2,Sea water,July,Summer,29.3,0.59,0.4,3.1,309,11.95,11.29
SBJ3,Sea water,July,Summer,29.3,0.59,0.4,3.1,309,11.95,11.29
SBO1,Sea water,October,Autumn,27.6,0.51,0.28,2.2,313,7.38,9.61
SBO2,Sea water,October,Autumn,27.6,0.51,0.28,2.2,313,7.38,9.61
SBO3,Sea water,October,Autumn,27.6,0.51,0.28,2.2,313,7.38,9.61
